cidade,mes_referencia,timestamp,ortodontia,clinico_geral,profilaxia,restauracao,avaliacoes_novas
Caxias,2026-03,2026-03-09T23:54:54.787169,R$ 0,R$ 0,0,0,-285
Farroupilha,2026-03,2026-03-09T23:55:19.439963,R$ 0,R$ 0,0,0,-173
Bento,2026-03,2026-03-09T23:55:45.048180,R$ 0,R$ 0,0,0,-76
Encantado,2026-03,2026-03-09T23:56:10.300231,R$ 0,R$ 0,0,0,-206
Soledade,2026-03,2026-03-09T23:56:35.588426,R$ 0,R$ 0,0,0,-413
Garibaldi,2026-03,2026-03-09T23:57:00.669559,R$ 0,R$ 0,0,0,-128
Veranópolis,2026-03,2026-03-09T23:57:26.211340,R$ 0,R$ 0,0,0,-128
SS do Caí,2026-03,2026-03-09T23:57:53.644649,R$ 0,R$ 0,0,0,-88
Flores,2026-03,2026-03-09T23:58:19.642192,R$ 0,R$ 0,0,0,-96
Caxias,2026-03,2026-03-10T05:01:20.165034,R$ 0,R$ 0,0,0,-285
Farroupilha,2026-03,2026-03-10T05:01:44.285295,R$ 0,R$ 0,0,0,-173
Bento,2026-03,2026-03-10T05:02:08.537302,R$ 0,R$ 0,0,0,-76
Encantado,2026-03,2026-03-10T05:02:32.678236,R$ 0,R$ 0,0,0,-206
Soledade,2026-03,2026-03-10T05:02:56.719812,R$ 0,R$ 0,0,0,-413
Garibaldi,2026-03,2026-03-10T05:03:20.980839,R$ 0,R$ 0,0,0,-128
Veranópolis,2026-03,2026-03-10T05:03:45.127438,R$ 0,R$ 0,0,0,-128
SS do Caí,2026-03,2026-03-10T05:04:09.549505,R$ 0,R$ 0,0,0,-88
Flores,2026-03,2026-03-10T05:04:34.763395,R$ 0,R$ 0,0,0,-96
Caxias,2026-03,2026-03-10T07:58:16.035862,R$ 0,R$ 0,0,0,-285
Farroupilha,2026-03,2026-03-10T07:58:40.035347,R$ 0,R$ 0,0,0,-173
Bento,2026-03,2026-03-10T07:59:04.206892,R$ 0,R$ 0,0,0,-76
Encantado,2026-03,2026-03-10T07:59:28.609007,R$ 0,R$ 0,0,0,-206
Soledade,2026-03,2026-03-10T07:59:52.719843,R$ 0,R$ 0,0,0,-413
Garibaldi,2026-03,2026-03-10T08:00:17.018532,R$ 0,R$ 0,0,0,-128
Veranópolis,2026-03,2026-03-10T08:00:41.109854,R$ 0,R$ 0,0,0,-128
SS do Caí,2026-03,2026-03-10T08:01:05.736506,R$ 0,R$ 0,0,0,-88
Flores,2026-03,2026-03-10T08:01:30.737542,R$ 0,R$ 0,0,0,-96
Caxias,2026-03,2026-03-10T10:07:17.422964,R$ 0,R$ 0,0,0,-285
Farroupilha,2026-03,2026-03-10T10:07:42.398490,R$ 0,R$ 0,0,0,-173
Bento,2026-03,2026-03-10T10:08:06.144760,R$ 0,R$ 0,0,0,-76
Encantado,2026-03,2026-03-10T10:08:30.329499,R$ 0,R$ 0,0,0,-206
Soledade,2026-03,2026-03-10T10:08:55.180600,R$ 0,R$ 0,0,0,-413
Garibaldi,2026-03,2026-03-10T10:09:20.325670,R$ 0,R$ 0,0,0,-128
Veranópolis,2026-03,2026-03-10T10:09:44.971072,R$ 0,R$ 0,0,0,-128
SS do Caí,2026-03,2026-03-10T10:10:09.482466,R$ 0,R$ 0,0,0,-88
Flores,2026-03,2026-03-10T10:10:35.116260,R$ 0,R$ 0,0,0,-96
Caxias,2026-03,2026-03-10T11:59:59.068042,R$ 0,R$ 0,0,0,-285
Farroupilha,2026-03,2026-03-10T12:00:23.608498,R$ 0,R$ 0,0,0,-173
Bento,2026-03,2026-03-10T12:00:47.722068,R$ 0,R$ 0,0,0,-76
Encantado,2026-03,2026-03-10T12:01:11.916811,R$ 0,R$ 0,0,0,-206
Soledade,2026-03,2026-03-10T12:01:35.723616,R$ 0,R$ 0,0,0,-413
Garibaldi,2026-03,2026-03-10T12:01:59.987473,R$ 0,R$ 0,0,0,-128
Veranópolis,2026-03,2026-03-10T12:02:24.040686,R$ 0,R$ 0,0,0,-128
SS do Caí,2026-03,2026-03-10T12:02:48.090417,R$ 0,R$ 0,0,0,-88
Flores,2026-03,2026-03-10T12:03:13.264256,R$ 0,R$ 0,0,0,-96
Caxias,2026-03,2026-03-10T12:15:38.259193,ortodontia,,,,
Caxias,2026-03,2026-03-10T12:15:38.259193,clinico_geral,,,,
Caxias,2026-03,2026-03-10T12:15:38.259193,avaliacoes_google,,,,
Caxias,2026-03,2026-03-10T12:15:38.259193,meta_avaliacao,,,,
Caxias,2026-03,2026-03-10T12:15:38.259193,meta_profilaxia,,,,
Caxias,2026-03,2026-03-10T12:15:38.259193,meta_restauracao,,,,
Farroupilha,2026-03,2026-03-10T12:15:48.306222,ortodontia,,,,
Farroupilha,2026-03,2026-03-10T12:15:48.306222,clinico_geral,,,,
Farroupilha,2026-03,2026-03-10T12:15:48.306222,avaliacoes_google,,,,
Farroupilha,2026-03,2026-03-10T12:15:48.306222,meta_avaliacao,,,,
Farroupilha,2026-03,2026-03-10T12:15:48.306222,meta_profilaxia,,,,
Farroupilha,2026-03,2026-03-10T12:15:48.306222,meta_restauracao,,,,
Bento,2026-03,2026-03-10T12:15:58.438595,ortodontia,,,,
Bento,2026-03,2026-03-10T12:15:58.438595,clinico_geral,,,,
Bento,2026-03,2026-03-10T12:15:58.438595,avaliacoes_google,,,,
Bento,2026-03,2026-03-10T12:15:58.438595,meta_avaliacao,,,,
Bento,2026-03,2026-03-10T12:15:58.438595,meta_profilaxia,,,,
Bento,2026-03,2026-03-10T12:15:58.438595,meta_restauracao,,,,
Encantado,2026-03,2026-03-10T12:16:08.472013,ortodontia,,,,
Encantado,2026-03,2026-03-10T12:16:08.472013,clinico_geral,,,,
Encantado,2026-03,2026-03-10T12:16:08.472013,avaliacoes_google,,,,
Encantado,2026-03,2026-03-10T12:16:08.472013,meta_avaliacao,,,,
Encantado,2026-03,2026-03-10T12:16:08.472013,meta_profilaxia,,,,
Encantado,2026-03,2026-03-10T12:16:08.472013,meta_restauracao,,,,
Soledade,2026-03,2026-03-10T12:16:18.338020,ortodontia,,,,
Soledade,2026-03,2026-03-10T12:16:18.338020,clinico_geral,,,,
Soledade,2026-03,2026-03-10T12:16:18.338020,avaliacoes_google,,,,
Soledade,2026-03,2026-03-10T12:16:18.338020,meta_avaliacao,,,,
Soledade,2026-03,2026-03-10T12:16:18.338020,meta_profilaxia,,,,
Soledade,2026-03,2026-03-10T12:16:18.338020,meta_restauracao,,,,
Garibaldi,2026-03,2026-03-10T12:16:28.320776,ortodontia,,,,
Garibaldi,2026-03,2026-03-10T12:16:28.320776,clinico_geral,,,,
Garibaldi,2026-03,2026-03-10T12:16:28.320776,avaliacoes_google,,,,
Garibaldi,2026-03,2026-03-10T12:16:28.320776,meta_avaliacao,,,,
Garibaldi,2026-03,2026-03-10T12:16:28.320776,meta_profilaxia,,,,
Garibaldi,2026-03,2026-03-10T12:16:28.320776,meta_restauracao,,,,
Veranópolis,2026-03,2026-03-10T12:16:38.303332,ortodontia,,,,
Veranópolis,2026-03,2026-03-10T12:16:38.303332,clinico_geral,,,,
Veranópolis,2026-03,2026-03-10T12:16:38.303332,avaliacoes_google,,,,
Veranópolis,2026-03,2026-03-10T12:16:38.303332,meta_avaliacao,,,,
Veranópolis,2026-03,2026-03-10T12:16:38.303332,meta_profilaxia,,,,
Veranópolis,2026-03,2026-03-10T12:16:38.303332,meta_restauracao,,,,
SS do Caí,2026-03,2026-03-10T12:16:47.986219,ortodontia,,,,
SS do Caí,2026-03,2026-03-10T12:16:47.986219,clinico_geral,,,,
SS do Caí,2026-03,2026-03-10T12:16:47.986219,avaliacoes_google,,,,
SS do Caí,2026-03,2026-03-10T12:16:47.986219,meta_avaliacao,,,,
SS do Caí,2026-03,2026-03-10T12:16:47.986219,meta_profilaxia,,,,
SS do Caí,2026-03,2026-03-10T12:16:47.986219,meta_restauracao,,,,
Flores,2026-03,2026-03-10T12:16:58.602890,ortodontia,,,,
Flores,2026-03,2026-03-10T12:16:58.602890,clinico_geral,,,,
Flores,2026-03,2026-03-10T12:16:58.602890,avaliacoes_google,,,,
Flores,2026-03,2026-03-10T12:16:58.602890,meta_avaliacao,,,,
Flores,2026-03,2026-03-10T12:16:58.602890,meta_profilaxia,,,,
Flores,2026-03,2026-03-10T12:16:58.602890,meta_restauracao,,,,
Caxias,2026-03,2026-03-10T12:51:44.570840,ortodontia,,,,
Caxias,2026-03,2026-03-10T12:51:44.570840,clinico_geral,,,,
Caxias,2026-03,2026-03-10T12:51:44.570840,avaliacoes_google,,,,
Caxias,2026-03,2026-03-10T12:51:44.570840,meta_avaliacao,,,,
Caxias,2026-03,2026-03-10T12:51:44.570840,meta_profilaxia,,,,
Caxias,2026-03,2026-03-10T12:51:44.570840,meta_restauracao,,,,
Farroupilha,2026-03,2026-03-10T12:51:55.317371,ortodontia,,,,
Farroupilha,2026-03,2026-03-10T12:51:55.317371,clinico_geral,,,,
Farroupilha,2026-03,2026-03-10T12:51:55.317371,avaliacoes_google,,,,
Farroupilha,2026-03,2026-03-10T12:51:55.317371,meta_avaliacao,,,,
Farroupilha,2026-03,2026-03-10T12:51:55.317371,meta_profilaxia,,,,
Farroupilha,2026-03,2026-03-10T12:51:55.317371,meta_restauracao,,,,
Bento,2026-03,2026-03-10T12:52:06.066514,ortodontia,,,,
Bento,2026-03,2026-03-10T12:52:06.066514,clinico_geral,,,,
Bento,2026-03,2026-03-10T12:52:06.066514,avaliacoes_google,,,,
Bento,2026-03,2026-03-10T12:52:06.066514,meta_avaliacao,,,,
Bento,2026-03,2026-03-10T12:52:06.066514,meta_profilaxia,,,,
Bento,2026-03,2026-03-10T12:52:06.066514,meta_restauracao,,,,
Encantado,2026-03,2026-03-10T12:52:17.032602,ortodontia,,,,
Encantado,2026-03,2026-03-10T12:52:17.032602,clinico_geral,,,,
Encantado,2026-03,2026-03-10T12:52:17.032602,avaliacoes_google,,,,
Encantado,2026-03,2026-03-10T12:52:17.032602,meta_avaliacao,,,,
Encantado,2026-03,2026-03-10T12:52:17.032602,meta_profilaxia,,,,
Encantado,2026-03,2026-03-10T12:52:17.032602,meta_restauracao,,,,
Soledade,2026-03,2026-03-10T12:52:27.381950,ortodontia,,,,
Soledade,2026-03,2026-03-10T12:52:27.381950,clinico_geral,,,,
Soledade,2026-03,2026-03-10T12:52:27.381950,avaliacoes_google,,,,
Soledade,2026-03,2026-03-10T12:52:27.381950,meta_avaliacao,,,,
Soledade,2026-03,2026-03-10T12:52:27.381950,meta_profilaxia,,,,
Soledade,2026-03,2026-03-10T12:52:27.381950,meta_restauracao,,,,
Garibaldi,2026-03,2026-03-10T12:52:37.899036,ortodontia,,,,
Garibaldi,2026-03,2026-03-10T12:52:37.899036,clinico_geral,,,,
Garibaldi,2026-03,2026-03-10T12:52:37.899036,avaliacoes_google,,,,
Garibaldi,2026-03,2026-03-10T12:52:37.899036,meta_avaliacao,,,,
Garibaldi,2026-03,2026-03-10T12:52:37.899036,meta_profilaxia,,,,
Garibaldi,2026-03,2026-03-10T12:52:37.899036,meta_restauracao,,,,
Veranópolis,2026-03,2026-03-10T12:52:48.398437,ortodontia,,,,
Veranópolis,2026-03,2026-03-10T12:52:48.398437,clinico_geral,,,,
Veranópolis,2026-03,2026-03-10T12:52:48.398437,avaliacoes_google,,,,
Veranópolis,2026-03,2026-03-10T12:52:48.398437,meta_avaliacao,,,,
Veranópolis,2026-03,2026-03-10T12:52:48.398437,meta_profilaxia,,,,
Veranópolis,2026-03,2026-03-10T12:52:48.398437,meta_restauracao,,,,
SS do Caí,2026-03,2026-03-10T12:52:59.864524,ortodontia,,,,
